251000
24687,牛舌,2230
9986,烤肉,2227
655,清爽,2226
2711,奇怪,2222
1536,盘子,2218
2221,定,2216
1815,饿,2215
2992,大众,2210
562,死,2208
7146,泰国,2208
3478,放在,2202
754,忙,2201
962,油条,2198
877,享受,2198
3594,别人,2196
1775,餐,2193
3315,略,2192
599,主动,2183
11508,榴莲,2179
941,这边,2179
57,口水,2176
1238,无功,2171
1025,整体,2168
315,网上,2166
2216,找到,2160
541,适中,2158
1353,手,2157
9731,烧烤,2156
449,句,2150
186,心情,2149
356,晚餐,2148
993,一共,2145
453,回,2143
627,午市,2141
933,内,2138
3430,可爱,2137
2089,香味,2137
857,离,2136
3582,意思,2126
3008,隔壁,2125
2168,小姐,2124
1863,那天,2121
1030,用餐,2121
1555,好看,2113
1170,怕,2111
675,等了,2099
2759,决定,2097
2021,整个,2094
1291,这些,2094
1281,经过,2093
693,不怎么样,2085
991,卡,2083
2002,深,2082
107,菜量,2081
871,根,2079
2515,黑,2079
1735,周到,2076
2339,无,2072
2458,午餐,2070
473,麻辣,2068
1143,停车,2063
66,上去,2060
24948,海胆,2057
13198,烤鸭,2055
897,味道好,2055
14462,士,2051
1470,嫩的,2045
3416,哪里,2043
368,不要,2041
463,定位,2040
1720,肥,2036
68,土豆泥,2032
869,美食,2030
214,番茄,2029
3294,相对,2029
391,如,2024
1213,至少,2021
571,煮,2016
3093,情调,2010
1249,阿姨,2008
349,关键,1996
8723,沙拉,1995
2794,汤汁,1993
2478,另,1992
973,想吃,1990
4209,馄饨,1989
208,顾客,1987
1227,谁,1983
1180,要是,1983
4188,粉丝,1981
2277,个头,1980
1239,无过,1960
3132,全部,1957
197,嘈杂,1953
3126,似乎,1952
112,馋嘴,1950
169,打折,1946
4915,双,1941
1718,软,1941
3087,结账,1937
4172,搭配,1935
775,麻酱,1935
264,好吧,1930
5183,小吃,1929
2880,米饭,1928
320,也是,1925
181,考虑,1922
788,上海人,1921
14685,草莓,1919
3685,安静,1919
2297,常,1909
1477,字,1902
202,灯光,1902
